Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001287,,Yes,3+,Not Graduate,No,3500,833,120.0,360.0,1.0,Semiurban
LP002420,Male,Yes,0,Graduate,No,2982,1550,110.0,360.0,1.0,Semiurban
LP002355,,Yes,0,Graduate,No,3186,3145,150.0,180.0,0.0,Semiurban
LP001650,Male,Yes,0,Graduate,No,2333,3803,146.0,360.0,1.0,Rural
LP001662,Male,No,0,Graduate,No,6500,0,71.0,360.0,0.0,Urban
LP001419,Female,Yes,0,Graduate,No,7950,0,185.0,360.0,1.0,Urban
LP002759,Male,Yes,2,Graduate,No,5000,0,149.0,360.0,1.0,Rural
LP001149,Male,Yes,0,Graduate,No,5400,4380,290.0,360.0,1.0,Urban
LP001589,Female,No,0,Graduate,No,3417,0,102.0,360.0,1.0,Urban
LP002605,Male,No,0,Not Graduate,No,3271,0,90.0,360.0,1.0,Rural
